arxiv_id,start_time,end_time,duration_sec,size_before_mb,size_after_mb,output_size_mb,max_ram_mb,avg_ram_mb,status
2412.15271,2025-11-14T15:13:00.408130,2025-11-14T15:13:08.240044,7.832,0.343,0.086,0.086,146.379,145.93,success
2412.15272,2025-11-14T15:13:00.408748,2025-11-14T15:13:09.860811,9.452,1.85,0.16,0.16,147.27,146.093,success
2412.15275,2025-11-14T15:13:00.411201,2025-11-14T15:13:10.664837,10.254,28.924,0.062,0.062,147.512,146.198,success
2412.15274,2025-11-14T15:13:00.409887,2025-11-14T15:13:12.170470,11.761,0.276,0.075,0.075,148.145,146.376,success
2412.15273,2025-11-14T15:13:00.409413,2025-11-14T15:13:12.374875,11.965,5.08,0.204,0.204,148.156,146.406,success
2412.15276,2025-11-14T15:13:08.246328,2025-11-14T15:13:15.215832,6.97,4.717,0.092,0.092,149.668,147.917,success
2412.15277,2025-11-14T15:13:09.865512,2025-11-14T15:13:18.766337,8.901,0.575,0.136,0.136,149.773,148.818,success
2412.15278,2025-11-14T15:13:10.670409,2025-11-14T15:13:21.395252,10.725,3.713,0.067,0.067,149.875,149.157,success
2412.15280,2025-11-14T15:13:12.380556,2025-11-14T15:13:22.279372,9.899,1.575,0.109,0.109,150.02,149.494,success
2412.15279,2025-11-14T15:13:12.182356,2025-11-14T15:13:24.485560,12.303,5.188,0.115,0.115,150.172,149.567,success
2412.15281,2025-11-14T15:13:15.221306,2025-11-14T15:13:25.104038,9.883,0.056,0.056,0.056,150.176,149.85,success
2412.15282,2025-11-14T15:13:18.772206,2025-11-14T15:13:28.333667,9.561,1.167,0.127,0.127,150.305,150.017,success
2412.15283,2025-11-14T15:13:21.401970,2025-11-14T15:13:31.444876,10.043,2.724,0.078,0.078,150.332,150.17,success
2412.15284,2025-11-14T15:13:22.285071,2025-11-14T15:13:32.348245,10.063,0.0,0.0,0.0,150.617,150.216,no_tex
2412.15285,2025-11-14T15:13:24.492312,2025-11-14T15:13:34.254323,9.762,0.788,0.175,0.175,150.629,150.339,success
2412.15286,2025-11-14T15:13:25.108809,2025-11-14T15:13:37.761183,12.652,2.322,0.219,0.219,150.645,150.43,success
2412.15287,2025-11-14T15:13:28.338604,2025-11-14T15:13:38.567334,10.229,2.681,1.524,1.524,150.66,150.525,success
2412.15288,2025-11-14T15:13:31.450540,2025-11-14T15:13:43.104835,11.654,0.165,0.165,0.165,150.758,150.656,success
2412.15290,2025-11-14T15:13:34.261151,2025-11-14T15:13:45.710546,11.449,0.0,0.0,0.0,151.188,150.721,no_tex
2412.15292,2025-11-14T15:13:38.572356,2025-11-14T15:13:49.124272,10.552,18.941,3.434,3.434,151.629,150.957,success
2412.15293,2025-11-14T15:13:43.111521,2025-11-14T15:13:53.244318,10.133,0.629,0.152,0.152,152.148,151.438,success
2412.15291,2025-11-14T15:13:37.767907,2025-11-14T15:13:54.445346,16.677,14.2,0.48,0.48,152.152,151.255,success
2412.15289,2025-11-14T15:13:32.355770,2025-11-14T15:13:55.145609,22.79,4.119,0.84,0.84,152.176,151.136,success
2412.15294,2025-11-14T15:13:45.716276,2025-11-14T15:13:55.446706,9.73,1.948,0.097,0.097,152.184,151.757,success
2412.15295,2025-11-14T15:13:49.131271,2025-11-14T15:14:01.369207,12.238,0.304,0.189,0.189,153.762,152.639,success
2412.15296,2025-11-14T15:13:53.250643,2025-11-14T15:14:03.181701,9.931,0.388,0.061,0.061,153.867,153.166,success
2412.15298,2025-11-14T15:13:55.152316,2025-11-14T15:14:04.689813,9.537,0.064,0.048,0.048,154.047,153.497,success
2412.15297,2025-11-14T15:13:54.451056,2025-11-14T15:14:06.803563,12.353,5.324,0.463,0.463,154.664,153.571,success
2412.15300,2025-11-14T15:14:01.375180,2025-11-14T15:14:11.251805,9.877,1.599,0.181,0.181,154.816,154.402,success
2412.15299,2025-11-14T15:13:55.452903,2025-11-14T15:14:13.662211,18.209,2.871,0.368,0.368,154.816,154.113,success
2412.15301,2025-11-14T15:14:03.186162,2025-11-14T15:14:13.866272,10.68,15.427,0.076,0.076,154.855,154.607,success
2412.15303,2025-11-14T15:14:06.809716,2025-11-14T15:14:16.888478,10.079,1.461,0.062,0.062,154.855,154.825,success
2412.15302,2025-11-14T15:14:04.694571,2025-11-14T15:14:17.914095,13.22,6.92,0.237,0.237,154.855,154.754,success
2412.15304,2025-11-14T15:14:11.257381,2025-11-14T15:14:20.701347,9.444,4.275,0.105,0.105,154.867,154.847,success
2412.15306,2025-11-14T15:14:13.872167,2025-11-14T15:14:23.851036,9.979,3.273,0.067,0.067,154.875,154.861,success
2412.15307,2025-11-14T15:14:16.893631,2025-11-14T15:14:25.848072,8.954,3.094,0.274,0.274,154.875,154.866,success
2412.15308,2025-11-14T15:14:17.920008,2025-11-14T15:14:27.070336,9.15,6.594,0.157,0.157,154.875,154.869,success
2412.15309,2025-11-14T15:14:20.707821,2025-11-14T15:14:28.243297,7.535,1.342,0.057,0.057,154.875,154.873,success
2412.15310,2025-11-14T15:14:23.857523,2025-11-14T15:14:32.179857,8.322,9.325,0.115,0.115,154.883,154.879,success
2412.15311,2025-11-14T15:14:25.855534,2025-11-14T15:14:35.083042,9.228,8.123,0.225,0.225,154.891,154.882,success
2412.15305,2025-11-14T15:14:13.667179,2025-11-14T15:14:35.476459,21.809,3.614,0.17,0.17,154.891,154.872,success
2412.15313,2025-11-14T15:14:28.250084,2025-11-14T15:14:36.480045,8.23,0.0,0.0,0.0,154.891,154.886,no_tex
